,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 1,Danang-Dragons,Hanoi-Buffalos,44,"January, Anthony",40,14,31,3,11,2,3,3,17,0,1,0,3,2,33
1,Regular 1,Danang-Dragons,Hanoi-Buffalos,0,"Nguyen, Horace",36,3,17,2,10,1,1,0,1,6,3,0,1,2,9
2,Regular 1,Danang-Dragons,Hanoi-Buffalos,68,"Huy Dai, Dam",30,5,9,5,8,0,0,0,1,0,0,0,1,3,15
3,Regular 1,Danang-Dragons,Hanoi-Buffalos,99,"Nguyen Van, Hung",28,2,6,0,0,0,0,4,5,2,0,0,1,3,4
4,Regular 1,Danang-Dragons,Hanoi-Buffalos,7,"Ly, Austin",21,0,2,0,0,3,4,1,1,2,0,0,3,3,3
5,Regular 1,Danang-Dragons,Hanoi-Buffalos,4,"Huynh Thanh, Tam",20,1,3,0,0,1,1,2,1,1,3,0,1,2,3
6,Regular 1,Danang-Dragons,Hanoi-Buffalos,77,"Son Minh, Tam",9,0,1,0,1,1,2,1,1,0,0,0,0,0,1
7,Regular 1,Danang-Dragons,Hanoi-Buffalos,69,"Bui-Quoc, Tan",8,1,2,0,0,0,0,0,1,0,1,0,0,2,2
8,Regular 1,Danang-Dragons,Hanoi-Buffalos,5,"Mai, Thinh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 1,Danang-Dragons,Hanoi-Buffalos,19,"Tran Dang, Hien",1,0,1,0,0,2,2,0,0,0,0,0,0,1,2
10,Regular 1,Danang-Dragons,Hanoi-Buffalos,17,"Vu-Viet, Hoang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 1,Danang-Dragons,Hanoi-Buffalos,24,"Ho Quoc, Truong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Hanoi-Buffalos,Danang-Dragons,5,"McKay, Jameel",37,8,14,0,1,2,6,9,10,1,1,5,2,1,18
1,Regular 1,Hanoi-Buffalos,Danang-Dragons,1,"Dinh-Tien, Cong",32,8,14,2,5,3,3,1,2,1,1,0,4,2,21
2,Regular 1,Hanoi-Buffalos,Danang-Dragons,2,"Nguyen, Henry",30,4,11,2,6,3,3,1,2,0,2,0,2,1,13
3,Regular 1,Hanoi-Buffalos,Danang-Dragons,12,"Tu-Le, Ngoc",28,3,18,1,4,0,4,2,7,0,0,0,2,2,7
4,Regular 1,Hanoi-Buffalos,Danang-Dragons,9,"Do-Xuan, Nam",21,2,3,0,1,0,0,0,1,0,0,0,0,2,4
5,Regular 1,Hanoi-Buffalos,Danang-Dragons,11,"Doan, Tung",17,2,7,0,3,0,0,3,2,0,1,0,2,1,4
6,Regular 1,Hanoi-Buffalos,Danang-Dragons,7,"Nguyen-Huynh, Hai",14,2,5,0,1,0,0,1,3,2,0,0,1,2,4
7,Regular 1,Hanoi-Buffalos,Danang-Dragons,14,"Bui-Thai, Ha",10,2,4,0,1,0,0,0,0,1,0,0,0,0,4
8,Regular 1,Hanoi-Buffalos,Danang-Dragons,88,"Nguyen-Quang, Anh",6,0,2,0,1,0,0,0,2,0,0,0,1,2,0
9,Regular 1,Hanoi-Buffalos,Danang-Dragons,19,"Ngoc, Tran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,34,"Vigilance, Michael",40,12,25,3,4,2,6,6,19,2,5,5,6,0,29
1,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,23,"Dinh-Thanh, Tam",40,7,14,0,4,2,4,4,5,1,2,0,1,4,16
2,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,65,"Le-Hieu, Thanh",36,3,9,2,5,1,2,1,4,3,1,0,0,3,9
3,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,3,"Nguyen-Phu, Hoang",34,6,18,3,10,3,7,2,0,2,2,0,3,4,18
4,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,52,"Nguyen-Hoang, Tu",30,1,7,0,4,2,2,3,1,1,1,0,2,2,4
5,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,15,"Tang-Minh, Tri",14,0,3,0,3,0,0,1,0,0,0,0,1,3,0
6,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,19,"Dinh Thanh, Sang",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,0,"Nguyen-Thinh, Hung",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,14,"Huynh, Khang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,18,"Hoang-Minh, Khoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,9,"Nguyen-Quang, Huy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,8,"Tran-Nguyen, Duong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,5,"McKay, Jameel",40,3,13,0,1,3,7,6,7,3,1,2,2,4,9
1,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,1,"Dinh-Tien, Cong",34,2,7,0,3,2,2,2,7,2,1,0,2,2,6
2,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,2,"Nguyen, Henry",34,2,7,2,6,0,0,2,3,2,1,0,4,2,6
3,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,24,"Nguyen, Stefan",28,9,22,2,8,2,3,1,3,5,0,0,5,3,22
4,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,12,"Tu-Le, Ngoc",27,6,12,2,3,9,9,2,7,0,3,0,2,3,23
5,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,9,"Do-Xuan, Nam",21,2,3,1,1,0,0,0,1,1,1,0,1,2,5
6,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,88,"Nguyen-Quang, Anh",11,1,4,0,3,0,0,0,2,0,1,0,0,1,2
7,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,7,"Nguyen-Huynh, Hai",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,14,"Bui-Thai, Ha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,19,"Ngoc, Tran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,11,"Doan, Tung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,15,"Nguyen-Van, Vinh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 1,Hochiminh-City-Wings,Saigon-Heat,33,"Martin, Wayne",39,11,25,0,1,1,3,6,12,4,2,2,1,2,23
1,Regular 1,Hochiminh-City-Wings,Saigon-Heat,4,"Nguyen Quang, Vinh",35,9,18,3,7,4,6,1,4,3,4,0,4,1,25
2,Regular 1,Hochiminh-City-Wings,Saigon-Heat,3,"Soy, Michael",33,7,12,2,6,2,2,0,3,2,3,0,2,0,18
3,Regular 1,Hochiminh-City-Wings,Saigon-Heat,13,"Pham, Tung",23,3,9,1,2,0,0,3,1,0,0,0,2,4,7
