,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Regular 1,Danang-Dragons,Hanoi-Buffalos,26,72,10,30,10,13,11,28,11,8,0,10,18,72
0,Regular 1,Hanoi-Buffalos,Danang-Dragons,31,78,5,23,8,16,17,29,5,5,5,14,13,75
0,Regular 2,Can-Tho-Catfish,Hanoi-Buffalos,29,76,8,30,10,21,17,29,9,11,5,14,16,76
0,Regular 2,Hanoi-Buffalos,Can-Tho-Catfish,25,68,7,25,16,21,13,30,14,8,2,16,17,73
0,Regular 1,Hochiminh-City-Wings,Saigon-Heat,35,77,7,21,7,11,14,26,12,12,2,14,18,84
0,Regular 1,Saigon-Heat,Hochiminh-City-Wings,25,65,6,23,20,29,12,26,11,10,1,23,19,76
0,Regular 2,Saigon-Heat,Thang-Long-Warriors,36,69,6,23,10,17,8,30,22,19,6,20,12,88
0,Regular 2,Thang-Long-Warriors,Saigon-Heat,22,71,4,22,6,10,18,27,10,10,2,28,16,54
0,Regular 2,Danang-Dragons,Saigon-Heat,21,69,5,17,5,14,13,22,7,12,1,20,16,52
0,Regular 2,Saigon-Heat,Danang-Dragons,32,76,8,31,6,9,16,32,20,9,2,18,12,78
0,Regular 2,Danang-Dragons,Hochiminh-City-Wings,23,70,4,18,10,18,8,31,4,11,2,14,16,60
0,Regular 2,Hochiminh-City-Wings,Danang-Dragons,27,72,4,22,9,14,12,34,6,8,3,18,13,67
0,Regular 2,Hanoi-Buffalos,Thang-Long-Warriors,22,60,5,22,12,22,10,29,8,12,2,0,20,61
0,Regular 2,Thang-Long-Warriors,Hanoi-Buffalos,24,62,4,12,12,22,10,27,11,13,1,0,21,64
0,Regular 2,Can-Tho-Catfish,Hochiminh-City-Wings,25,66,8,28,9,21,8,28,13,10,2,15,14,67
0,Regular 2,Hochiminh-City-Wings,Can-Tho-Catfish,36,82,9,26,8,16,16,37,14,7,1,13,16,89
0,Regular 3,Saigon-Heat,Thang-Long-Warriors,24,71,6,30,10,16,14,29,11,13,1,12,15,64
0,Regular 3,Thang-Long-Warriors,Saigon-Heat,22,61,7,26,5,10,7,28,11,4,2,18,17,56
0,Regular 3,Danang-Dragons,Hanoi-Buffalos,30,70,6,20,16,27,15,34,20,9,3,16,22,82
0,Regular 3,Hanoi-Buffalos,Danang-Dragons,27,74,5,27,12,30,20,27,9,12,5,15,19,71
0,Regular 3,Can-Tho-Catfish,Hochiminh-City-Wings,32,76,6,28,5,11,9,30,14,11,1,15,20,75
0,Regular 3,Hochiminh-City-Wings,Can-Tho-Catfish,30,73,6,25,14,25,14,30,14,11,5,16,17,80
0,Regular 4,Can-Tho-Catfish,Saigon-Heat,35,74,6,20,8,14,8,32,17,9,3,17,12,84
0,Regular 4,Saigon-Heat,Can-Tho-Catfish,34,76,8,23,7,11,9,33,16,12,4,18,18,83
0,Regular 4,Can-Tho-Catfish,Thang-Long-Warriors,27,75,7,28,20,32,12,41,9,15,3,25,18,81
0,Regular 4,Thang-Long-Warriors,Can-Tho-Catfish,35,78,7,22,6,21,12,35,18,20,2,24,27,83
0,Regular 4,Hochiminh-City-Wings,Saigon-Heat,25,66,4,19,13,18,7,21,10,13,2,21,16,67
0,Regular 4,Saigon-Heat,Hochiminh-City-Wings,29,61,6,19,7,11,10,31,15,13,4,27,19,71
0,Regular 4,Hanoi-Buffalos,Hochiminh-City-Wings,37,63,12,17,12,15,5,29,17,11,4,20,10,98
0,Regular 4,Hochiminh-City-Wings,Hanoi-Buffalos,27,70,4,22,9,12,12,24,12,14,2,21,15,67
0,Regular 5,Hochiminh-City-Wings,Thang-Long-Warriors,22,69,7,26,15,20,16,33,10,11,5,18,20,66
0,Regular 5,Thang-Long-Warriors,Hochiminh-City-Wings,21,62,2,21,18,25,8,30,11,13,2,18,21,62
0,Regular 5,Hanoi-Buffalos,Thang-Long-Warriors,22,73,7,29,13,21,15,36,9,9,5,14,22,64
0,Regular 5,Thang-Long-Warriors,Hanoi-Buffalos,22,71,5,29,22,29,12,38,12,9,2,18,20,71
